id,name,nameHe,startDate,endDate,description,descriptionHe
figure-terah,Terah,תרח,1 Tishrei 1878,1 Tishrei 2083,Terah – lived 205 years (Genesis 11:32),תרח – חי 205 שנה (בראשית יא:לב)
figure-abraham,Abraham,אברהם,1 Tishrei 1948,1 Tishrei 2123,Abraham – lived 175 years (Genesis 25:7),אברהם – חי 175 שנה (בראשית כה:ז)
figure-sarah,Sarah,שרה,1 Tishrei 1958,1 Tishrei 2085,Sarah – lived 127 years (Genesis 23:1),שרה – חיתה 127 שנה (בראשית כג:א)
figure-isaac,Isaac,יצחק,1 Tishrei 2048,1 Tishrei 2228,Isaac – lived 180 years (Genesis 35:28),יצחק – חי 180 שנה (בראשית לה:כח)
figure-jacob,Jacob,יעקב,1 Tishrei 2108,1 Tishrei 2255,Jacob – lived 147 years (Genesis 47:28),יעקב – חי 147 שנה (בראשית מז:כח)
figure-joseph,Joseph,יוסף,1 Tishrei 2199,1 Tishrei 2309,Joseph – lived 110 years (Genesis 50:26),יוסף – חי 110 שנה (בראשית נ:כו)
figure-moses,Moses,משה,7 Adar 2368,7 Adar 2488,Moses – lived 120 years (Deuteronomy 34:7),משה – חי 120 שנה (דברים לד:ז)
figure-aaron,Aaron,אהרן,1 Tishrei 2365,1 Av 2487,Aaron – lived 123 years (Numbers 33:39),אהרן – חי 123 שנה (במדבר לג:לט)
figure-joshua,Joshua,יהושע,1 Tishrei 2406,1 Tishrei 2516,Joshua – lived 110 years (Joshua 24:29),יהושע – חי 110 שנה (יהושע כד:כט)
figure-david,King David,דוד המלך,1 Tishrei 2854,1 Tishrei 2924,King David – lived 70 years (2 Samuel 5:4),דוד המלך – חי 70 שנה (שמואל ב ה:ד)
figure-solomon,King Solomon,שלמה המלך,1 Tishrei 2912,1 Tishrei 2964,King Solomon – reigned 40 years (1 Kings 11:42),שלמה המלך – מלך 40 שנה (מלכים א יא:מב)
figure-isaiah,Prophet Isaiah,הנביא ישעיהו,1 Tishrei 3140,1 Tishrei 3230,Prophet Isaiah lived during the first temple,הנביא ישעיהו חי בתקופת בית ראשון
figure-hillel,Hillel the Elder,הלל הזקן,1 Tishrei 3650,1 Tishrei 3770,Hillel the Elder – leading sage of the Second Temple era; founder of Beit Hillel,הלל הזקן – מגדולי חכמי בית שני; מייסד בית הלל
figure-shammai,Shammai,שמאי,1 Tishrei 3710,1 Tishrei 3790,Shammai – leading Tanna of the Second Temple era; founder of Beit Shammai,שמאי – תנא בתקופת בית שני; מייסד בית שמאי
figure-akiva,Rabbi Akiva,רבי עקיבא,1 Tishrei 3810,1 Tishrei 3895,Rabbi Akiva ben Yosef – leading Tanna; major contributor to the Mishna,רבי עקיבא בן יוסף – תנא מרכזי; תרם רבות למשנה
figure-shimon-bar-yochai,Rabbi Shimon bar Yochai,רבי שמעון בר יוחאי,1 Tishrei 3860,1 Tishrei 3920,Rabbi Shimon bar Yochai – Tanna; traditionally attributed author of the Zohar,רבי שמעון בר יוחאי – תנא; מיוחס לו חיבור הזוהר
figure-meir,Rabbi Meir,רבי מאיר,1 Tishrei 3860,1 Tishrei 3925,Rabbi Meir – leading Tanna; student of Rabbi Akiva; his teachings form the backbone of the Mishna,רבי מאיר – תנא מרכזי; תלמיד רבי עקיבא; משנתו עמוד השדרה של המשנה
figure-yehuda-hanasi,Rabbi Yehuda HaNasi,רבי יהודה הנשיא,1 Tishrei 3895,1 Tishrei 3977,Rabbi Yehuda HaNasi – Patriarch; compiler and editor of the Mishna (c. 200 CE),רבי יהודה הנשיא – נשיא; עורך המשנה (כ-200 לספירה)
figure-rav,Rav (Abba Arika),רב,1 Tishrei 3935,1 Tishrei 4007,Rav (Abba Arika) – first-generation Amora; founded the academy at Sura in Babylonia,רב (אבא אריכא) – אמורא דור ראשון; ייסד ישיבה בסורא
figure-shmuel,Shmuel of Nehardea,שמואל,1 Tishrei 3937,1 Tishrei 4017,Shmuel – first-generation Babylonian Amora; head of the academy at Nehardea,שמואל – אמורא בבלי דור ראשון; ראש ישיבת נהרדעא
figure-yochanan,Rav Yochanan bar Nappacha,רבי יוחנן בר נפחא,1 Tishrei 3940,1 Tishrei 4039,Rav Yochanan bar Nappacha – leading Amora of the Land of Israel; primary shaper of the Jerusalem Talmud,רבי יוחנן בר נפחא – אמורא מרכזי בארץ ישראל; עיצב את התלמוד הירושלמי
figure-abaye,Abaye,אביי,1 Tishrei 4038,1 Tishrei 4098,Abaye – fourth-generation Babylonian Amora; his debates with Rava are central to the Talmud,אביי – אמורא בבלי דור רביעי; ויכוחיו עם רבא מרכזיים בתלמוד
figure-rava,Rava,רבא,1 Tishrei 4059,1 Tishrei 4112,Rava – fourth-generation Babylonian Amora; halachic decisions follow him in most disputes with Abaye,רבא – אמורא בבלי דור רביעי; הלכה כרבא בעיקר ויכוחיו עם אביי
figure-rav-ashi,Rav Ashi,רב אשי,1 Tishrei 4112,1 Tishrei 4187,Rav Ashi – leading Amora; primary compiler of the Babylonian Talmud,רב אשי – אמורא מרכזי; עורך עיקרי של התלמוד הבבלי
figure-rashi,Rashi,רש"י,1 Tishrei 4800,1 Tishrei 4865,Rashi (Rabbi Shlomo Yitzchaki, 1040–1105) – foremost commentator on the Torah and Talmud,רש"י (רבי שלמה יצחקי, 1040–1105) – פרשן עיקרי על התורה והתלמוד
figure-rambam,Rambam,רמב"ם,1 Tishrei 4895,1 Tishrei 4964,Rambam (Maimonides, Rabbi Moshe ben Maimon, 1135–1204) – philosopher; author of Mishneh Torah and Guide for the Perplexed,רמב"ם (רבי משה בן מיימון, 1135–1204) – פילוסוף; חיבר משנה תורה ומורה נבוכים
figure-ramban,Ramban,רמב"ן,1 Tishrei 4954,1 Tishrei 5030,Ramban (Nachmanides, Rabbi Moshe ben Nachman, 1194–1270) – Kabbalist; major commentator on the Torah,רמב"ן (רבי משה בן נחמן, 1194–1270) – מקובל; פרשן חשוב על התורה
figure-herzl,Theodor Herzl,תיאודור הרצל,1 Tishrei 5620,1 Tishrei 5664,Theodor Herzl (1860–1904) – visionary founder of modern Zionism; convened the First Zionist Congress (1897),תיאודור הרצל (1860–1904) – מייסד הציונות המדינית; כינס את הקונגרס הציוני הראשון (1897)
figure-weizmann,Chaim Weizmann,חיים ויצמן,1 Tishrei 5634,1 Tishrei 5712,Chaim Weizmann (1874–1952) – scientist and statesman; first President of the State of Israel,חיים ויצמן (1874–1952) – מדען ומדינאי; נשיא ישראל הראשון
figure-ben-gurion,David Ben-Gurion,דוד בן-גוריון,1 Tishrei 5646,1 Tishrei 5733,David Ben-Gurion (1886–1973) – founding father; first Prime Minister of the State of Israel,דוד בן-גוריון (1886–1973) – אבי המדינה; ראש הממשלה הראשון של מדינת ישראל
figure-golda-meir,Golda Meir,גולדה מאיר,1 Tishrei 5658,1 Tishrei 5738,Golda Meir (1898–1978) – fourth Prime Minister of Israel; only woman to serve as PM,גולדה מאיר (1898–1978) – ראש הממשלה הרביעי של ישראל; האישה היחידה שכיהנה כראש ממשלה
figure-begin,Menachem Begin,מנחם בגין,1 Tishrei 5673,1 Tishrei 5752,Menachem Begin (1913–1992) – sixth Prime Minister of Israel; Nobel Peace Prize laureate (1978),מנחם בגין (1913–1992) – ראש הממשלה השישי; זוכה פרס נובל לשלום (1978)
figure-rabin,Yitzhak Rabin,יצחק רבין,1 Tishrei 5682,1 Tishrei 5756,Yitzhak Rabin (1922–1995) – Prime Minister of Israel; Nobel Peace Prize laureate; assassinated in 1995,יצחק רבין (1922–1995) – ראש ממשלת ישראל; זוכה פרס נובל לשלום; נרצח ב-1995
figure-peres,Shimon Peres,שמעון פרס,1 Tishrei 5683,1 Tishrei 5776,Shimon Peres (1923–2016) – Prime Minister and ninth President of Israel; Nobel Peace Prize laureate,שמעון פרס (1923–2016) – ראש ממשלה ונשיא ישראל התשיעי; זוכה פרס נובל לשלום
